period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2018-11,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,182.12,megawatthours
2017-12,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,144.91,megawatthours
2018-09,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,296.3,megawatthours
2018-08,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,308.28,megawatthours
2019-01,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,149.94,megawatthours
2018-01,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,155.21,megawatthours
2017-05,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,310.11,megawatthours
2017-10,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,246.49,megawatthours
2017-11,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,155.54,megawatthours
2017-06,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,338.01,megawatthours
2017-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,288.54,megawatthours
2017-08,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,270.71,megawatthours
2017-07,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,246.29,megawatthours
2017-09,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,259.12,megawatthours
2016-07,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,248.12,megawatthours
2017-02,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,152.58,megawatthours
2016-03,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,192.63,megawatthours
2016-02,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,157.19,megawatthours
2016-08,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,197.38,megawatthours
2016-01,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,108.22,megawatthours
2016-11,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,305.38,megawatthours
2016-10,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,414.56,megawatthours
2016-09,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,429.17,megawatthours
