period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units,sector,entityid,entityName,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid,long,lat
2020-02,62376,Grazing Yak Solar,SUN,Solar,CO,Colorado,PV,5372,megawatthours,ipp-non-chp,61912,"Grazing Yak Solar, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,35,2019-11,-104.252715|38.977759,10812,08041003909,-104.252715,38.977759
2020-12,62495,Palmer Solar,SUN,Solar,CO,Colorado,PV,7571,megawatthours,ipp-non-chp,62009,Palmer Solar LLC,WACM,Western Area Power Administration - Rocky Mountain Region,OP,60,2020-04,-104.6526|38.6299,9980,08041004511,-104.6526,38.6299
2019-01,62663,Gilcrest Solar,SUN,Solar,CO,Colorado,PV,174.13,megawatthours,ipp-non-chp,57081,"WGL Energy Systems, Inc",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1.5,2018-08,-104.783613|40.289366,10060,08123001700,-104.783613,40.289366
2019-01,62664,Quincy Solar,SUN,Solar,CO,Colorado,PV,178.18,megawatthours,ipp-non-chp,57081,"WGL Energy Systems, Inc",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1.5,2018-09,-104.562645|39.63838,10685,08005007103,-104.562645,39.63838
2019-02,62667,Lafayette Horizon Solar CSG LLC,SUN,Solar,CO,Colorado,PV,192.21,megawatthours,ipp-non-chp,62147,Lafayette Horizon Solar CSG LLC,PSCO,Public Service Company of Colorado,OP,1.6,2019-02,-105.063747|39.981606,10267,08013060800,-105.063747,39.981606
2020-02,62718,Mesa CSG 2 Massicotte,SUN,Solar,CO,Colorado,PV,214.89,megawatthours,ipp-non-chp,60531,Standard Solar,PSCO,Public Service Company of Colorado,OP,1.5,2019-05,-108.419672|39.044814,9656,08077001900,-108.419672,39.044814
2020-02,62719,Mesa CSG 1 Murdock,SUN,Solar,CO,Colorado,PV,195.15,megawatthours,ipp-non-chp,60531,Standard Solar,PSCO,Public Service Company of Colorado,OP,1.5,2019-05,-108.64387|39.108785,9654,08077000900,-108.64387,39.108785
2020-02,62877,Amazon Denver DEN3,SUN,Solar,CO,Colorado,PV,465.67,megawatthours,commercial-non-chp,62715,Westbound Solar LLC,PSCO,Public Service Company of Colorado,OP,4.6,2019-11,-104.982339|39.885061,10315,08001009203,-104.982339,39.885061
2020-02,63092,Riverview Solar,SUN,Solar,CO,Colorado,PV,203,megawatthours,electric-utility,62902,"Highline Services, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1.5,2019-11,-103.132442|40.66583,9736,08075966400,-103.132442,40.66583
2020-02,63163,Tom Sifers Solar,SUN,Solar,CO,Colorado,PV,114.17,megawatthours,ipp-non-chp,62961,"Mountain Parks Services, Inc.",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1,2019-11,-105.846|39.959166,9789,08049000202,-105.846,39.959166
2020-02,63164,Whiskey Hill Solar,SUN,Solar,CO,Colorado,PV,139.04,megawatthours,ipp-non-chp,62961,"Mountain Parks Services, Inc.",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1,2019-11,-106.289722|40.8125,9883,08057955600,-106.289722,40.8125
2020-11,63276,Mtn. Solar 1,SUN,Solar,CO,Colorado,PV,211.45,megawatthours,ipp-non-chp,60531,Standard Solar,PSCO,Public Service Company of Colorado,OP,1.5,2019-08,-104.58591|39.777621,10256,08001008401,-104.58591,39.777621
